genre;artist_name;track_name;popularity;acousticness;danceability;duration_s;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence
Classical;Frederic Chopin;Mazurka in E Minor, Op, 41 No, 2;44;0,995;0,442;215,227;0,017;0,893;0,061;-24,902;0,0429;67,619;0,28
Classical;Johann Sebastian Bach;Invention No, 1 in C Major, BWV 772;40;0,994;0,314;88,573;0,209;0,902;0,0873;-26,784;0,0438;79,556;0,0339
Classical;Johann Sebastian Bach;Cello Suite No, 5 in C Minor, BWV 1011: IV, Sarabande;36;0,937;0,0874;198,32;0,0169;0,773;0,108;-32,245;0,0417;143,98;0,0847
Classical;Gustavo Santaolalla;The Last of Us (You and Me);44;0,952;0,492;128,827;0,0126;0,294;0,0744;-22,416;0,0373;131,598;0,158
Classical;Thomas Adäs;Traced overhead Op, 15 (1990): Sursum;36;0,978;0,204;45,933;0,015;0,929;0,142;-44,727;0,0467;84,38;0,0394
Classical;Dmitri Shostakovich;Shostakovich: Piano Quintet in G Minor, Op, 57: III, Scherzo, Allegretto;40;0,93;0,615;210,96;0,364;0,818;0,125;-14,683;0,0636;127,338;0,149
Classical;Johann Sebastian Bach;Unaccompanied Cello Suite No, 3 in C Major, BWV 1009: III, Courante;38;0,971;0,36;188,147;0,0775;0,906;0,146;-25,674;0,0371;120,741;0,569
Classical;Leo Brouwer;Danza del altiplano;38;0,954;0,458;245,947;0,197;0,755;0,113;-21,578;0,0451;70,708;0,114
Classical;John Tavener;The Lamb;46;0,983;0,0829;254,253;0,0107;0,106;0,0607;-39,295;0,0447;89,567;0,0481
Classical;Johannes Brahms;Brahms: 3 Intermezzi, Op, 117: No, 1 Intermezzo No, 1 in E-Flat Major;41;0,995;0,333;329,044;0,00325;0,917;0,0897;-37,682;0,0357;91,76;0,104
Classical;Gustav Mahler;"Songs from ""Des Knaben Wunderhorn"": 12, Der Tamboursg'sell";2;0,98;0,226;368,72;0,255;0,507;0,323;-15,72;0,0584;76,987;0,0395
Classical;Gustav Mahler;"Das Klagende Lied / Pt, 1: ""Ach Spielmann, lieber Spielmann mein!""";2;0,962;0,207;363,907;0,106;0,138;0,127;-18,548;0,0545;84,047;0,0621
Classical;Gustav Mahler;"Symphony No, 8 in E-Flat Major - ""Symphony of a Thousand"" / Pt, 2: ""Uns bleibt ein Erdenrest""";4;0,981;0,215;112,827;0,0581;0,344;0,288;-28,751;0,0457;107,318;0,848
Classical;Franz Schubert;Valse sentimentale No, 13, D, 779, Op, 50;38;0,992;0,389;73,333;0,0142;0,926;0,0873;-32,378;0,0336;81,402;0,0991
Classical;Camille Saint-Saâns;Saint-Saâns: Le carnaval des animaux (Carnival of the Animals): XIII, The Swan;40;0,99;0,105;205,24;0,0334;0,926;0,0933;-28,089;0,049;66,086;0,258
Classical;Giacomo Puccini;Gianni Schicchi - Arr, Mikhashoff: O mio babbino caro;41;0,993;0,233;172,431;0,0242;0,846;0,133;-28,831;0,0421;170,573;0,0342
Classical;Giuseppe Verdi;"""Libiamo ne'lieti calici""";38;0,967;0,395;167,027;0,246;7,77E-06;0,505;-16,601;0,0459;108,011;0,057
Classical;Johann Sebastian Bach;Goldberg Variations, BWV 988: Variation 5 a 1 ovvero 2 Clav, - Remastered;43;0,991;0,409;37,027;0,208;0,84;0,115;-22,097;0,0453;127,999;0,75
Classical;Richard Strauss;Capriccio, Op,85, TrV 279: Mondscheinmusik;36;0,984;0,138;219,25;0,144;0,936;0,0806;-17,179;0,0765;142,242;0,107
Classical;Ludwig van Beethoven;"Beethoven: Piano Sonata No, 14 in C-Sharp Minor, Op, 27 No, 2, ""Moonlight"": I, Adagio sostenuto (Excerpt)";41;0,996;0,276;237,12;0,0127;0,918;0,148;-34,464;0,0362;72,704;0,0548
Electronic;Bassnectar;Other Worlds;57;0,0174;0,485;309,429;0,739;0,08;0,0674;-4,693;0,0567;74,647;0,0629
Electronic;Nightmares On Wax;Typical;54;0,595;0,503;280,267;0,339;0,0974;0,148;-9,784;0,0453;86,893;0,0288
Electronic;Nicolas Jaar;History Lesson;44;0,326;0,461;223,64;0,247;0,21;0,109;-13,594;0,0464;85,882;0,178
Electronic;12th Planet;Taco Bout It;40;0,000829;0,576;168;0,968;0,0149;0,317;-3,086;0,0518;96,55;0,0547
Electronic;DJ Shadow;Changeling;40;0,333;0,594;436,2;0,809;0,827;0,524;-6,489;0,0379;109,209;0,155
Electronic;Portishead;Elysium;42;0,00366;0,33;354,627;0,488;0,0494;0,361;-5,376;0,0584;72,207;0,0384
Electronic;Nightmares On Wax;I Am You;45;0,45;0,405;402,28;0,378;0,58;0,105;-9,864;0,0508;78,232;0,0381
Electronic;Boards of Canada;Dawn Chorus;40;0,00177;0,418;235,493;0,686;0,0176;0,863;-8,658;0,0653;101,136;0,608
Electronic;Junkie XL;Sparta;29;0,253;0,538;65,533;0,833;0,459;0,219;-9,535;0,0366;100,899;0,0383
Electronic;Bonobo;Hatoa;42;0,333;0,524;261,851;0,443;0,911;0,107;-15,092;0,0311;115,024;0,104
Electronic;Burial;Etched Headplate;36;0,278;0,423;359,76;0,506;0,723;0,099;-12,286;0,0534;105,338;0,543
Electronic;UNKLE;On My Knees (feat, Michael Kiwanuka);44;0,0311;0,155;328,92;0,557;8,96E-05;0,136;-8,21;0,0451;98,705;0,631
Electronic;Space Jesus;NawLedge - Bleep Bloop Remix;29;0,0256;0,561;150,855;0,556;0;0,101;-6,966;0,0912;69,716;0,0489
Electronic;The Prodigy;Intro;26;0,00379;0,288;46,2;0,291;0,244;0,797;-15,444;0,0511;89,712;0,0376
Electronic;Todd Terje;Alfonso Muskedunder;46;0,0328;0,569;204,933;0,948;0,925;0,0928;-7,536;0,0525;71,999;0,0945
Electronic;Flying Lotus;Theme;35;0,208;0,189;84,04;0,614;0,535;0,454;-6,895;0,0451;125,827;0,032
Electronic;Bailo;Tonight;30;0,00555;0,51;173,419;0,822;0,000565;0,11;-4,602;0,0397;110,74;0,0845
Electronic;Venetian Snares;ôngyilkos Vas†rnap;30;0,0597;0,729;206,16;0,874;0,44;0,174;-4,664;0,0466;81,497;0,0386
Electronic;Venetian Snares;Hajnal;30;0,504;0,35;466;0,772;0,653;0,115;-4,893;0,0424;76,942;0,0729
Electronic;LCD Soundsystem;pulse (v,1);34;0,457;0,709;1822,64;0,687;0,837;0,0951;-12,527;0,0377;82,953;0,0373
Electronic;Dirt Monkey;Cheeky Beak;27;0,00239;0,778;185,6;0,53;0,837;0,196;-5,721;0,0443;132,715;0,0338
Electronic;Junkie XL;Water;30;0,175;0,387;195,141;0,751;0,76;0,114;-12,217;0,0608;71,863;0,17
Electronic;Lamb;Armageddon Waits;41;0,00901;0,633;260,453;0,56;0,552;0,152;-5,813;0,0483;97,408;0,242
Electronic;aYia;Sparkle;30;0,0421;0,375;278,413;0,479;0,318;0,171;-9,127;0,0402;80,255;0,467
Electronic;Cocteau Twins;Carolyn's Fingers;41;0,022;0,389;187,347;0,83;0,0156;0,167;-4,314;0,0521;125,77;0,0394
Electronic;Boards of Canada;Zoetrope;31;0,971;0,801;318,88;0,649;0,81;0,0886;-16,399;0,0697;110,925;0,373
Electronic;Moa Pillar;Water Lily;29;0,000589;0,312;221,698;0,871;0,575;0,279;-6,502;0,0418;83,99;0,362
Electronic;Flying Lotus;Your Potential//The Beyond;30;0,134;0,198;105,978;0,69;0,902;0,108;-6,708;0,0484;132,568;0,0318
Electronic;Morcheeba;Diggin' A Watery Grave;21;0,611;0,236;96,04;0,377;4,88E-05;0,11;-10,449;0,039;78,787;0,109
Electronic;Dodge & Fuski;Substance Abuse;28;0,0073;0,495;325,714;0,977;0,198;0,416;-3,107;0,0447;78,402;0,0462
Electronic;Bjarki;I Wanna Go Bang - Original Mix;44;0,00098;0,797;295,915;0,693;0,926;0,106;-7,949;0,0485;177,744;0,0846
Electronic;Flying Lotus;Orbit 405;29;0,000335;0,326;43,96;0,963;0,947;0,339;-9,042;0,0427;93,1;0,0338
Electronic;Getter;Inhalant Abuse Vip;30;0,0322;0,633;148,625;0,819;0,187;0,238;-4,32;0,0286;80,167;0,282
Electronic;Herobust;First Person Shooter;25;0,000918;0,717;232;0,918;0,0425;0,0997;-0,747;0,0352;87,912;0,04
Electronic;Flying Lotus;Protector;26;0,253;0,152;133,982;0,691;0,872;0,145;-14,592;0,0349;83,553;0,271
Electronic;Thom Yorke;Voiceless Terror;33;0,261;0,173;150,225;0,745;0,609;0,059;-11,084;0,0464;134,466;0,0589
Electronic;Lamb;Lusty;22;0,00305;0,797;249,067;0,812;0,0496;0,1;-8,396;0,051;130,722;0,659
Electronic;Wax Tailor;Birth of a Struggle;26;0,758;0,297;59,933;0,453;0,0496;0,602;-14,572;0,0556;76,669;0,906
Electronic;Juno Reactor;Angels And Men;27;0,887;0,299;427,6;0,358;0,841;0,458;-13,027;0,0281;83,413;0,214
Rock;Bobby Vinton;Blue Velvet;61;0,862;0,376;168,093;0,246;0;0,155;-9,803;0,0286;80,167;0,282
Rock;Hammock;I Can Almost See You;58;0,78;0,0964;253,147;0,46;0,814;0,0909;-9,822;0,0352;87,912;0,04
Rock;Led Zeppelin;Friends - Remastered;53;0,744;0,257;233,901;0,452;0,0996;0,38;-12,365;0,0349;83,553;0,271
Rock;Nine Inch Nails;March Of The Pigs;54;0,0278;0,512;178,427;0,84;0,142;0,077;-6,817;0,0464;134,466;0,0589
Rock;Grateful Dead;Estimated Prophet - 2013 Remaster;49;0,456;0,655;336,579;0,398;0,00099;0,0814;-13,822;0,051;130,722;0,659
Rock;Grateful Dead;Fire On The Mountain;49;0,528;0,788;229,009;0,461;2,69E-05;0,0886;-11,704;0,0556;76,669;0,906
Rock;Dashboard Confessional;Heart Beat Here;52;0,21;0,568;207,2;0,302;0;0,104;-7,817;0,0281;83,413;0,214
Rock;Better Oblivion Community Center;Forest Lawn;55;0,194;0,576;226,24;0,421;0,000291;0,126;-13,545;0,0449;82,841;0,266
Rock;Puma Blue;Want Me;54;0,852;0,339;266,733;0,197;0,015;0,111;-13,937;0,0362;91,33;0,0385
Rock;John Denver;We Wish You A Merry Christmas;53;0,814;0,678;65,347;0,353;0;0,0904;-15,636;0,0716;84,545;0,777
Rock;Young the Giant;Anagram;51;0,0312;0,504;294,24;0,718;1,76E-05;0,0946;-5,871;0,0277;90,05;0,357
Rock;Bleachers;Like a River Runs;56;0,84;0,255;237,587;0,243;2,36E-06;0,187;-11,194;0,0384;89,258;0,135
Rock;Peter Gabriel;Solsbury Hill - Remastered 2002;47;0,379;0,676;260,75;0,647;0,000158;0,391;-8,747;0,0302;102,9;0,474
Rock;Switchfoot;LET IT HAPPEN;51;0,000383;0,345;281,133;0,93;0,00129;0,792;-5,109;0,0819;105,546;0,1
Rock;Amos Lee;Wait Up For Me;57;0,677;0,654;225,147;0,24;0,00649;0,0784;-15,692;0,0288;83,013;0,246
Rock;Mattia Cupelli;Narrowed Eyes;52;0,361;0,167;153,953;0,179;0,899;0,135;-20,276;0,0342;68,622;0,0343
Rock;Tribal Seeds;Night & Day;52;0,00975;0,865;253,23;0,623;0,000483;0,0842;-7,315;0,0387;134,972;0,693
Rock;Pink Floyd;Money;74;0,0241;0,469;382,834;0,537;0,00201;0,269;-10,421;0,152;124,193;0,783
Rock;Vance Joy;Mess Is Mine;71;0,047;0,595;223,64;0,723;0,0286;0,0995;-8,256;0,0349;108,043;0,272
Rock;Bring Me The Horizon;i apologise if you feel something;70;0,533;0,211;139,564;0,361;0,0284;0,08;-10,247;0,0346;179,895;0,0537
Rock;The Beatles;Lucy In The Sky With Diamonds - Remastered 2009;69;0,0469;0,311;208,467;0,325;0;0,139;-10,769;0,0283;65,09;0,668
Rock;George Thorogood & The Destroyers;Bad To The Bone;68;0,00614;0,459;292,173;0,727;0,065;0,384;-6,566;0,0303;149,229;0,549
Rock;Wolfmother;Woman;63;5,10E-05;0,219;176,307;0,952;0,0989;0,157;-10,615;0,176;112,886;0,172
Rock;Rush;Closer To The Heart;61;0,155;0,374;171,96;0,804;0;0,654;-5,399;0,0899;144,995;0,561
Rock;Thirty Seconds To Mars;Love Is Madness (feat, Halsey);65;0,0128;0,382;234,867;0,675;0,000246;0,219;-4,36;0,0441;106,171;0,449
Rock;Alice In Chains;Them Bones;64;0,0235;0,159;149,467;0,946;8,06E-06;0,387;-8,491;0,0629;164,997;0,309
Rock;The Mamas & The Papas;Dream A Little Dream Of Me - Album Version With Introduction;65;0,816;0,459;194,427;0,322;0;0,072;-9,866;0,0595;133,91;0,331
Rock;Peter Gabriel;Solsbury Hill;56;0,33;0,681;262,773;0,569;0,00038;0,323;-6,109;0,0295;102,402;0,458
Rock;Whiskey Myers;Ballad Of A Southern Man;61;0,432;0,605;220,187;0,53;0;0,095;-11,074;0,0261;73,986;0,38
Rock;Kip Moore;Hey Pretty Girl;60;0,145;0,291;215,92;0,4;1,86E-05;0,259;-9,921;0,0306;83,112;0,0935
Rock;Cody Johnson;Wild as You;62;0,241;0,49;186,067;0,644;0;0,111;-10,119;0,0278;74,979;0,49
Rock;grandson;Kiss Bang;58;0,000233;0,322;172,941;0,832;0,218;0,364;-11,227;0,0731;78,721;0,322
Rock;Eric Paslay;She Don't Love You;58;0,335;0,36;262,053;0,333;1,09E-06;0,114;-8,491;0,0285;74,53;0,17
Rock;Parachute;She Is Love;60;0,683;0,622;146,067;0,175;0;0,109;-9,866;0,0245;136,365;0,376
Rock;Coconut Records;West Coast;57;0,464;0,532;210,106;0,597;0,000123;0,0643;-6,109;0,0261;80,031;0,345
Rock;Hippo Campus;Monsoon;53;0,938;0,29;222,82;0,308;0,0294;0,106;-11,074;0,0442;84,88;0,205
Rock;Alice In Chains;Don't Follow;54;0,781;0,314;262,133;0,37;0,139;0,122;-9,921;0,0286;116,044;0,28
Rock;The Beatles;The End - Remastered 2009;58;0,00101;0,647;141,613;0,487;0,285;0,138;-10,119;0,0689;123,444;0,222
Rock;Richard Marx;Now And Forever;64;0,661;0,441;214,827;0,258;0;0,106;-11,227;0,0276;77,988;0,172
